company	company_number	days_left	equity_perc_offered	founded	investment_received	investment_required	location	num_investors	pitch_id	pitch_url	scheme	sector_1	sector_2	sector_3	type	Source
Asset Match Limited	07681197	 	5.00%	23rd June 2011	£289,960	£250,000	City of London, London	100	pitch-12733	https://www.crowdcube.com/investment/asset-match-limited-12733	EIS	Technology	Internet Business	Professional and Business Services	 A Shares Only	Crowdcube
Cell Guidance Systems	07122793	 	5.00%	12th January 2010	£290,910	£100,000	Babraham Research Campus, Cambridge	138	pitch-12833	https://www.crowdcube.com/investment/cell-guidance-systems-12833	EIS	Technology			 A (£5,000), B	Crowdcube
ZoVolt	08249041	 	15.00%	10th October 2012	£91,150	£60,000	Wormbridge, County of Herefordshire	112	pitch-13221	https://www.crowdcube.com/investment/zovolt-13221	SEIS	Technology	Internet Business	IT and Telecommunications	 A (£5,000), B	Crowdcube
SilkFred Ltd	07557982	 	20.00%	9th March 2011	£145,610	£120,000	Camden, London	70	pitch-12786	https://www.crowdcube.com/investment/silkfred-ltd-12786	EIS	Technology	Consumer products	Retail	 A (£10,000), B	Crowdcube
Front Up Rugby	07997640	 	13.33%	20th March 2012	£104,160	£100,000	Sutton Coldfield, West Midlands	107	pitch-12754	https://www.crowdcube.com/investment/front-up-rugby-12754	EIS	Sport & Leisure	Internet Business	Retail	 A (£5,000), B	Crowdcube
GF Foods	06406368	 	22.50%	22nd October 2007	£163,000	£125,000	York	23	pitch-13383	https://www.crowdcube.com/investment/gf-foods-13383	SEIS	Food and Drink			 A (£25,000), B	Crowdcube
iNeed Limited	08072966	 	5.20%	16th May 2012	£37,450	£40,000	Islington, London	27	pitch-12777	https://www.crowdcube.com/investment/ineed-limited-12777	SEIS	Technology	Internet Business	IT and Telecommunications	 A Shares Only	Crowdcube
Seek & Adore Ltd	07363032	 	7.55%	1st September 2010	£69,400	£50,000	Lambeth, London	59	pitch-13588	https://www.crowdcube.com/investment/seek-adore-ltd-13588	EIS	Internet Business	Retail	Art and Design	 A (£25,000), B	Crowdcube
Water Babies Musical UK Limited	07783988	 	28.50%	21st September 2011	£998,620	£1,000,000	Marylebone, London	42	pitch-12212	https://www.crowdcube.com/investment/water-babies-musical-uk-limited-12212	EIS	TV and Theatre	Film		 B Shares Only	Crowdcube
Quality Practice Ltd	07829615	 	15.40%	31st October 2011	£169,849	£170,000	Cheltenham, Gloucestershire	45	pitch-12572	https://www.crowdcube.com/investment/quality-practice-ltd-12572	SEIS	Health & Fitness	Professional and Business Services	IT and Telecommunications	 A (£15,000), B	Crowdcube
OVIVO Mobile Communications Limited	07768728	 	20.00%	8th September 2011	£414,000	£325,000	Royal Borough of Kensington and Chelsea, London	109	pitch-12685	https://www.crowdcube.com/investment/ovivo-mobile-communications-limited-12685	EIS	IT and Telecommunications			 A Shares Only	Crowdcube
Hug & Co Ltd	08081729	 	14.00%	23rd May 2012	£35,380	£25,000	Perranporth, Cornwall	8	pitch-12633	https://www.crowdcube.com/investment/hug-co-ltd-12633	SEIS	Consumer products	Other	Retail	 A (£2,000), B	Crowdcube
Hop Stuff Brewery Ltd	08471474	 	30.00%	2nd April 2013	£58,120	£50,000	Greenwich, London	72	pitch-12720	https://www.crowdcube.com/investment/hop-stuff-brewery-ltd-12720	SEIS	Retail	Leisure and Tourism	Food and Drink	 A (£1,000), B	Crowdcube
Red Advertising Ltd	05269423	 	10.00%	25th October 2004	£180,000	£180,000	Cannock, Staffordshire	35	pitch-12532	https://www.crowdcube.com/investment/red-advertising-ltd-12532	EIS	Technology	Internet Business	Professional and Business Services	 A Shares Only	Crowdcube
Quantock Brewery Limited	06859482	 	40.00%	26th March 2009	£120,000	£100,000	Wellington, Somerset	130	pitch-12506	https://www.crowdcube.com/investment/quantock-brewery-limited-12506	EIS	Consumer products	Manufacturing	Food and Drink	 A Shares Only	Crowdcube
Crowdcube Limited	07014587	 	14.00%	9th September 2009	£1,500,000	£1,000,000	Exeter, Devon	262	pitch-12592	https://www.crowdcube.com/investment/crowdcube-limited-12592	EIS	Technology	Internet Business	Professional and Business Services	 A (£100,000), B	Crowdcube
Carbonlights Solutions Limited	06615381	 	7.00%	9th June 2008	£100,000	£100,000	Coleford, Gloucestershire	34	pitch-12500	https://www.crowdcube.com/investment/carbonlights-solutions-limited-12500	SEIS	Manufacturing			 B Shares Only	Crowdcube
Affresol Ltd	06441554	 	4.00%	30th November 2007	£135,900	£100,000	Llangyfelach, Swansea	120	pitch-12464	https://www.crowdcube.com/investment/affresol-ltd-12464	EIS	Environmental and Ethical	Manufacturing		 A Shares Only	Crowdcube
Crowd Mortgage Limited	08388606	 	18.90%	5th February 2013	£91,760	£94,500	Liverpool, Merseyside	74	pitch-12672	https://www.crowdcube.com/investment/crowd-mortgage-limited-12672	SEIS	Internet Business	Other	Professional and Business Services	 A (£2,000), B	Crowdcube
Flossonic Limited	07946551	 	12.70%	13th February 2012	£126,850	£126,850	Nottingham	113	pitch-12527	https://www.crowdcube.com/investment/flossonic-limited-12527	SEIS	Health & Fitness			 A (£5,000), B	Crowdcube
Stakis Daycare Nurseries Ltd	08332185	 	20.00%	14th December 2012	£101,230	£100,000	Maidenhead, Windsor and Maidenhead	47	pitch-12468	https://www.crowdcube.com/investment/stakis-daycare-nurseries-ltd-12468	SEIS	Other	Education		 A Shares Only	Crowdcube
Wild Trail Limited	07113209	 	25.00%	29th December 2009	£168,170	£150,000	London, UK	106	pitch-10589	https://www.crowdcube.com/investment/wild-trail-limited-10589	EIS	Consumer products	Food and Drink		 A Shares Only	Crowdcube
Crowdcube Limited	07014587	 	9.00%	9th September 2009	£319,950	£319,950	Exeter, UK	163	pitch-10475	https://www.crowdcube.com/investment/crowdcube-limited-10475	EIS	Professional and Business Services			 B Shares Only	Crowdcube
Lawbit Ltd	08066586	 	20.40%	10th May 2012	£398,330	£360,000	Smithfield, London	160	pitch-12638	https://www.crowdcube.com/investment/lawbit-ltd-12638	EIS	Professional and Business Services			 A Shares Only	Crowdcube
Angel Alerts Ltd		 	15.00%		£49,750	£50,000	Cambridge	26	pitch-12268	https://www.crowdcube.com/investment/angel-alerts-ltd-12268	SEIS	Internet Business	Professional and Business Services		 B Shares Only	Crowdcube
Crowd Mortgage Limited	08388606	 	23.24%	5th February 2013	£57,600	£57,500	Liverpool, Merseyside	51	pitch-12476	https://www.crowdcube.com/investment/crowd-mortgage-limited-12476	SEIS	Internet Business	Professional and Business Services		 A (£2,000), B	Crowdcube
inSpiral Visionary Products Ltd	07834482	 	10.00%	3rd November 2011	£249,500	£250,000	London	119	pitch-12276	https://www.crowdcube.com/investment/inspiral-visionary-products-ltd-12276	EIS	Health & Fitness	Environmental and Ethical	Food and Drink	 A (£25,000), B	Crowdcube
The Rushmore Group Ltd	04442835	 	4.61%	19th May 2002	£500,000	£500,000	London	73	pitch-12560	https://www.crowdcube.com/investment/the-rushmore-group-ltd-12560	EIS	Food and Drink			 A (£25,000), B	Crowdcube
East End Manufacturing Ltd	08190374	 	20.00%	23rd August 2012	£150,000	£150,000	Tower Hamlets, London	71	pitch-12575	https://www.crowdcube.com/investment/east-end-manufacturing-ltd-12575	SEIS	Manufacturing			 A Shares Only	Crowdcube
Kammerling's Investment Holdings Ltd	07734558	 	20.00%	8th August 2011	£325,000	£325,000	Islington, London	64	pitch-12190	https://www.crowdcube.com/investment/kammerling-s-investment-holdings-ltd-12190	EIS	Food and Drink			 A (£5,000), B	Crowdcube
OVIVO Mobile Communications Limited	07768728	 	12.50%	8th September 2011	£150,000	£150,000	Chelsea, London	69	pitch-12374	https://www.crowdcube.com/investment/ovivo-mobile-communications-limited-12374	SEIS	Technology	Internet Business	IT and Telecommunications	 A Shares Only	Crowdcube
Green & Pleasant	08135723	 	30.00%	8th July 2012	£123,450	£122,950	London	59	pitch-12279	https://www.crowdcube.com/investment/green-pleasant-12279	SEIS	Retail	Food and Drink		 A (£5,000), B	Crowdcube
iNeed Limited	08072966	 	8.79%	16th May 2012	£56,950	£60,000	Islington, London	50	pitch-12265	https://www.crowdcube.com/investment/ineed-limited-12265	SEIS	Technology	Internet Business	Consumer products	 A Shares Only	Crowdcube
The Thoughtful Bread Company		 	20.00%		£55,000	£55,000	Bath	34	pitch-12082	https://www.crowdcube.com/investment/the-thoughtful-bread-company-12082	EIS	Retail	Food and Drink		 B Shares Only	Crowdcube
E-Car Club Ltd	07789666	 	20.00%	27th September 2011	£100,000	£100,000	Southwark, London	63	pitch-12191	https://www.crowdcube.com/investment/e-car-club-ltd-12191		Environmental and Ethical	Professional and Business Services		 A (£15,000), B	Crowdcube
Righteous Ltd	07798976	 	20.00%	4th October 2011	£141,460	£150,610	Wandsworth, London	82	pitch-12434	https://www.crowdcube.com/investment/righteous-ltd-12434	EIS	Food and Drink			 B Shares Only	Crowdcube
St Vibes	08122209	 	25.00%	27th June 2012	£249,000	£250,000	Hackney, London	49	pitch-12013	https://www.crowdcube.com/investment/st-vibes-12013		Food and Drink			 A Shares Only	Crowdcube
Financial Fairy Tales Limited	08111756	 	20.00%	18th June 2012	£19,750	£20,000	Bournemouth, Dorset	21	pitch-12074	https://www.crowdcube.com/investment/financial-fairy-tales-limited-12074	EIS	Media and Creative Services	Education		 A (£2,500), B	Crowdcube
iNeed	08072966	 	12.00%	16th May 2012	£49,000	£50,000	Bradfield St George, Suffolk	40	pitch-12015	https://www.crowdcube.com/investment/ineed-12015	SEIS	Technology	Internet Business		 A Shares Only	Crowdcube
icomply Limited	04316461	 	5.00%	5th November 2001	£49,820	£49,820	Leeds, West Yorkshire	32	pitch-11943	https://www.crowdcube.com/investment/icomply-limited-11943	EIS	IT and Telecommunications			 A (£10,000), B	Crowdcube
Kinopto Limited	07875334	 	15.00%	8th December 2011	£35,000	£35,000	Bromley, London	23	pitch-11298	https://www.crowdcube.com/investment/kinopto-limited-11298	EIS	TV and Theatre	Film	Manufacturing,Technology	 A Shares Only	Crowdcube
Red Advertising Ltd	05269423	 	10.00%	25th October 2004	£97,490	£100,000	Cannock, Staffordshire	49	pitch-11920	https://www.crowdcube.com/investment/red-advertising-ltd-11920	EIS	Internet Business	Professional and Business Services		 A Shares Only	Crowdcube
Universal Fuels	07010713	 	4.00%	6th September 2009	£50,000	£50,000	London, UK	122	pitch-10536	https://www.crowdcube.com/investment/universal-fuels-10536	EIS	Oil & Gas			 B Shares Only	Crowdcube
Front Up Rugby (Extended Pitch)	07997640	 	5.00%	20th March 2012	£23,000	£23,000	Sutton Coldfield, West Midlands	7	pitch-12023	https://www.crowdcube.com/investment/front-up-rugby-extended-pitch-12023	EIS	Sport & Leisure	Internet Business	Retail	 A (£5,000), B	Crowdcube
Front Up Rugby	07997640	 	20.00%	20th March 2012	£100,000	£100,000	Sutton Coldfield, West Midlands	64	pitch-10623	https://www.crowdcube.com/investment/front-up-rugby-10623	EIS	Sport & Leisure	Retail		 A (£5,000), B	Crowdcube
Escape the City	07036498	 	24.00%	6th October 2009	£600,000	£600,000	Hammersmith and Fulham, London	394	pitch-10610	https://www.crowdcube.com/investment/escape-the-city-10610	EIS	Technology	Internet Business		 B Shares Only	Crowdcube
Brüpond Brewery		 	25.00%		£35,000	£35,000		45	pitch-10622	https://www.crowdcube.com/investment/brüpond-brewery-10622	SEIS					Crowdcube
Southern Dreams Limited	06583934	 	25.00%	1st May 2008	£25,000	£25,000	London, U.K.	12	pitch-10534	https://www.crowdcube.com/investment/southern-dreams-limited-10534	SEIS	Professional and Business Services			 B Shares Only	Crowdcube
Dr Jacksons Natural Products		 	15.00%		£15,000	£15,000	Bristol, United Kingdom	12	pitch-10555	https://www.crowdcube.com/investment/dr-jacksons-natural-products-10555	EIS	Retail			 B Shares Only	Crowdcube
The London Distillery Company Ltd	07681347	 	45.00%	23rd June 2011	£250,000	£250,000	London, England	44	pitch-10528	https://www.crowdcube.com/investment/the-london-distillery-company-ltd-10528	EIS	Manufacturing	Food and Drink		 B Shares Only	Crowdcube
Get Site Tracked	07439429	 	33.00%	15th November 2010	£100,000	£100,000	Camden, London	29	pitch-10561	https://www.crowdcube.com/investment/get-site-tracked-10561	EIS	Internet Business	Professional and Business Services		 B Shares Only	Crowdcube
Righteous Ltd.	07798976	 	15.00%	4th October 2011	£75,000	£75,000	London, United Kingdom	82	pitch-10490	https://www.crowdcube.com/investment/righteous-ltd-10490	EIS	Retail	Food and Drink		 B Shares Only	Crowdcube
Oriental Rugs of Bath	06850768	 	10.00%	18th March 2009	£30,000	£30,000	Bath, UK	36	pitch-10417	https://www.crowdcube.com/investment/oriental-rugs-of-bath-10417	EIS	Retail			 B Shares Only	Crowdcube
Red Advertising Ltd		 	11.00%		£125,000	£125,000	Cannock, Staffordshire, UK	64	pitch-10471	https://www.crowdcube.com/investment/red-advertising-ltd-10471	EIS	Internet Business	Professional and Business Services		 B Shares Only	Crowdcube
Universal Fuels Phase 1		 	14.00%		£100,000	£100,000	London, UK	1	pitch-10466	https://www.crowdcube.com/investment/universal-fuels-phase-1-10466	EIS	Oil & Gas			 B Shares Only	Crowdcube
The Rushmore Group Ltd - Extended offer	04442835	 	5.00%	19th May 2002	£500,000	£500,000	London, UK	70	pitch-10462	https://www.crowdcube.com/investment/the-rushmore-group-ltd-extended-offer-10462		Leisure and Tourism	Food and Drink		 B Shares Only	Crowdcube
Edge Forecast Software	07811191	 	20.00%	13th October 2011	£15,000	£15,000	Bath, UK	22	pitch-10453	https://www.crowdcube.com/investment/edge-forecast-software-10453	EIS	Professional and Business Services			 B Shares Only	Crowdcube
BigBarn CIC	04025368	 	4.00%	2nd July 2000	£12,000	£12,000	Cambridge, UK	58	pitch-10474	https://www.crowdcube.com/investment/bigbarn-cic-10474	EIS	Food and Drink			 B Shares Only	Crowdcube
The Rushmore Group Ltd	04442835	 	10.00%	19th May 2002	£1,000,000	£1,000,000	London, UK	143	pitch-10449	https://www.crowdcube.com/investment/the-rushmore-group-ltd-10449	EIS	Leisure and Tourism	Food and Drink		 B Shares Only	Crowdcube
Personal Development Bureau - Phase 2	07561545	 	15.00%	11th March 2011	£25,000	£25,000	Croydon, United Kingdom	20	pitch-10432	https://www.crowdcube.com/investment/personal-development-bureau-phase-2-10432	EIS	Professional and Business Services			 B Shares Only	Crowdcube
Kammerling's	07734558	 	23.00%	8th August 2011	£180,000	£180,000	London, UK	85	pitch-10425	https://www.crowdcube.com/investment/kammerling-s-10425	EIS	Retail	Food and Drink		 B Shares Only	Crowdcube
Personal Development Bureau - Phase 1	07561545	 	15.00%	11th March 2011	£25,000	£25,000	Croydon, United Kingdom	68	pitch-10431	https://www.crowdcube.com/investment/personal-development-bureau-phase-1-10431	EIS	Professional and Business Services			 B Shares Only	Crowdcube
Bubble & Balm	06345537	 	15.00%	15th August 2007	£75,000	£75,000	Leamington Spa, England	82	pitch-10394	https://www.crowdcube.com/investment/bubble-balm-10394	EIS	Retail			 B Shares Only	Crowdcube
Witt Energy	06348505	15	7.08%	20th August 2007	£838,780	£750,000	Cornwall	517	pitch-20527	https://www.crowdcube.com/investment/witt-energy-20527	EIS	Technology	Environmental and Ethical	Manufacturing	 A (£10,000), B	Crowdcube
THE LONDON JAM FACTORY	08952552	3	40.00%	21st March 2014	£103,720	£130,000	London	186	pitch-20808	https://www.crowdcube.com/investment/the-london-jam-factory-20808	SEIS	Consumer products	Retail	Food and Drink	 A (£1,000), B	Crowdcube
Vivobarefoot	03474829	17	4.00%	2nd December 1997	£429,270	£750,000	London	444	pitch-20872	https://www.crowdcube.com/investment/vivobarefoot-20872	EIS	Consumer products	Health & Fitness		 B Shares - with full voting and pre-emption rights	Crowdcube
RENOVAGEN	08308732	11	20.92%	27th November 2012	£327,870	£600,000	Milton Keynes	216	pitch-20950	https://www.crowdcube.com/investment/renovagen-20950	EIS	Technology	Environmental and Ethical	Manufacturing	 A (£10,000), B	Crowdcube
IZZY MELODY	09043404	26	20.00%	15th May 2014	£790	£60,000	Liverpool	13	pitch-20956	https://www.crowdcube.com/investment/izzy-melody-20956	EIS	Consumer products	Retail		 A (£5,000), B	Crowdcube
SimplyCook	09364895	16	9.09%	22nd December 2014	£521,200	£600,000	Camden, London	422	pitch-20864	https://www.crowdcube.com/investment/simplycook-20864	EIS	Internet Business	Food and Drink		 Seed (£25,000, direct), Ordinary (nominee)	Crowdcube
Pull'd	08891060	20	36.42%	12th February 2014	£19,620	£350,000	London	25	pitch-20952	https://www.crowdcube.com/investment/pull-d-20952	EIS	Food and Drink			 A (£2,000), B	Crowdcube
TeachPitch	08258305	2	14.63%	17th October 2012	£308,640	£300,000	London	137	pitch-20812	https://www.crowdcube.com/investment/teachpitch-20812	EIS	Technology	Education		 A (£5,000), B	Crowdcube
Firebrand Brewing Co	04035083	10	20.00%	11th July 2000	£88,260	£125,000		112	pitch-20921	https://www.crowdcube.com/investment/firebrand-brewing-co-20921	EIS					Crowdcube
TIDDLEY POM	07844301	4	17.96%	11th November 2011	£9,820	£150,000	Dorking	35	pitch-20826	https://www.crowdcube.com/investment/tiddley-pom-20826	EIS	Consumer products	Health & Fitness	Retail	 A (£5,000), B	Crowdcube
Tidy Books	04877859	16	9.09%	26th August 2003	£14,830	£150,000	London	29	pitch-20889	https://www.crowdcube.com/investment/tidy-books-20889	EIS	Consumer products	Retail	Manufacturing	 A (£5,000), B	Crowdcube
ORANGE SOCCER	09339018	5	9.09%	3rd December 2014	£18,910	£50,000	Preston	75	pitch-20914	https://www.crowdcube.com/investment/orange-soccer-20914	SEIS	Sport & Leisure	Retail	Media and Creative Services	 A Shares Only	Crowdcube
E-SIGN	07937425	11	10.00%	6th February 2012	£29,080	£75,000	Liverpool	49	pitch-20859	https://www.crowdcube.com/investment/e-sign-20859	EIS	Technology	Internet Business	Professional and Business Services	 A (£5,000), B	Crowdcube
The Italian Job	09094292	18	22.22%	18th June 2014	£206,300	£350,000	London	87	pitch-20839	https://www.crowdcube.com/investment/the-italian-job-20839	EIS	Food and Drink			 A (£5,000), B	Crowdcube
Car Quids	09061530	13	6.74%	28th May 2014	£78,050	£130,000	Islington, London	82	pitch-20824	https://www.crowdcube.com/investment/car-quids-20824	SEIS	Technology	Consumer products	Media and Creative Services	 A (£5,000), B	Crowdcube
The Yorkshire Meatball Co.	08578499	9	9.05%	19th June 2013	£40,100	£100,000	Harrogate	61	pitch-20926	https://www.crowdcube.com/investment/the-yorkshire-meatball-co-20926	EIS	Consumer products	Retail	Food and Drink	 A (£5,000), B	Crowdcube
SOUPFIX	08966391	20	27.27%	28th March 2014	£11,120	£150,000	London	17	pitch-20862	https://www.crowdcube.com/investment/soupfix-20862	SEIS	Retail	Food and Drink		 A (£2,000), B	Crowdcube
MONII	09272926	4	17.50%	20th October 2014	£81,040	£150,000	Evesham	30	pitch-20887	https://www.crowdcube.com/investment/monii-20887	EIS	Technology	Internet Business	IT and Telecommunications	 A (£5,000), B	Crowdcube
Filisia	09065346	11	20.00%	1st June 2014	£71,390	£150,000	London	69	pitch-20882	https://www.crowdcube.com/investment/filisia-20882	SEIS	Technology	Health & Fitness	Education	 A (£2,500), B	Crowdcube
BestinEngland.com	09679054	12	14.00%	8th July 2015	£32,460	£75,000	Lewes, East Sussex	26	pitch-20954	https://www.crowdcube.com/investment/bestinengland-com-20954	SEIS	Technology	Leisure and Tourism		 A (£5,000), B	Crowdcube
Pocket App	07432479	17.0	17.09%	8 October 2010	£567,870	£750,000	London,United Kingdom	239	10996	https://www.seedrs.com/pocket-app	EIS	B2B	Digital	Programming & Security	equity	Seedrs
Friction Free Shaving	09390238	57.0	14.21%	12 November 2015	£98,073	£110,005	Birmingham,United Kingdom	56	14570	https://www.seedrs.com/ffs	SEIS	B2C	Mixed Digital/Non-Digital	Home & Personal	equity	Seedrs
BPSE SAILING SERIES	09568776		4.77%	30 April 2015	£250,560	£250,560	London,United Kingdom	74	14713	https://www.seedrs.com/bpse-sailing-series	EIS	B2C	Non-Digital	Travel,Leisure & Sport	equity	Seedrs
Climber Hotel					£65,310	£65,310	Lisbon, Portugal,Portugal	79	14344	https://www.seedrs.com/climber-hotel1		B2B	Digital	Content & Information	convertible	Seedrs
KalliKids	07974390	59.0	5.14%	2 March 2012	£70,604	£150,001	Brighton,United Kingdom	14	14602	https://www.seedrs.com/kallikids	EIS	Mixed B2B/B2C	Mixed Digital/Non-Digital	Travel,Leisure & Sport	equity	Seedrs
Vyke	09701220	56.0	20.00%	11 October 2015	£380,938	£500,000	LONDON,United Kingdom	52	14964	https://www.seedrs.com/vyke2	EIS	B2C	Digital	Content & Information	equity	Seedrs
Eventopedia	08970205		6.15%	1 April 2014	£129,818	£129,818	London,United Kingdom	82	14073	https://www.seedrs.com/eventopedia	SEIS	B2B	Digital	Content & Information	equity	Seedrs
Wriggle	08599213		21.73%	5 July 2013	£416,502	£416,502	Bristol,United Kingdom	373	13783	https://www.seedrs.com/wriggle1	EIS	B2C	Mixed Digital/Non-Digital	Travel,Leisure & Sport	equity	Seedrs
Readbug	08906983		4.24%	21 February 2014	£67,904	£67,904	Bristol,United Kingdom	139	14356	https://www.seedrs.com/readbug3	EIS	B2C	Digital	Content & Information	equity	Seedrs
YellowDog					£196,348		Bristol,United Kingdom		14347	https://www.seedrs.com/yellowdog1		B2B	Digital	Programming & Security	equity	Seedrs
MyLiveGuard					£127,528		Abercynon,United Kingdom		12820	https://www.seedrs.com/myliveguard		B2C	Digital	Home & Personal	equity	Seedrs
Veeqo					£266,485		Swansea,United Kingdom		14128	https://www.seedrs.com/veeqo5		B2B	Digital	SaaS/PaaS	equity	Seedrs
